,o_cz,o_cz_name,o_state_name
12782250,36403,Soda Springs,Idaho
12800775,36404,Rock Springs,Wyoming
12819300,36501,Klamath Falls,California
12837825,36502,Burns,Oregon
12856350,36503,Lakeview,Oregon
12874875,36600,Redding,California
12893400,36700,Eureka,California
12911925,36800,Medford,Oregon
12930450,36901,Crescent City,California
12948975,36902,Roseburg,Oregon
12967500,37000,Modesto,California
12986025,37100,Bakersfield,California
13004550,37200,Fresno,California
13023075,37300,Chico,California
13041600,37400,Sacramento,California
13060125,37500,San Jose,California
13078650,37601,Elko,Nevada
13097175,37602,Winnemucca,Nevada
13115700,37603,Portola,California
13134225,37604,Reno,Nevada
13152750,37700,Santa Rosa,California
13171275,37800,San Francisco,California
13189800,37901,Las Vegas,Nevada
13208325,37902,Reno,Nevada
13226850,37903,Mammoth Lakes,California
13245375,38000,San Diego,California
13263900,38100,Yuma,California
13282425,38200,Santa Barbara,California
13300950,38300,Los Angeles,California
13319475,38401,Lewiston,Idaho
13338000,38402,Pullman,Washington
13356525,38501,Moses Lake,Washington
13375050,38502,Wenatchee,Washington
13393575,38601,Spokane,Washington
13412100,38602,Colville,Washington
13430625,38700,Longview,Washington
13449150,38801,Portland,Oregon
13467675,38802,The Dalles,Oregon
13486200,38901,Eugene,Oregon
13504725,38902,Newport,Oregon
13523250,39000,Yakima,Washington
13541775,39100,Kennewick,Washington
13560300,39201,La Grande,Oregon
13578825,39202,Enterprise,Oregon
13597350,39203,Bend,Oregon
13615875,39204,Condon,Oregon
13634400,39205,John Day,Oregon
13652925,39301,Friday Harbor,Washington
13671450,39302,Bellingham,Washington
13689975,39303,Port Angeles,Washington
13708500,39400,Seattle,Washington
