o_cz,o_cz_name,o_state_name,d_cz,d_cz_name,d_state_name,n,n_tot_o,n_tot_d,pool
39203,Bend,Oregon,32401,Big Spring,Texas,0,67,222,Black
39203,Bend,Oregon,2700,Gulfport,Mississippi,0,67,11475,Black
39203,Bend,Oregon,10900,Pensacola,Florida,1,67,12597,Black
39203,Bend,Oregon,9600,LaGrange,Georgia,0,67,13802,Black
39203,Bend,Oregon,3202,Natchez,Mississippi,0,67,3184,Black
39203,Bend,Oregon,7700,Lake City,Florida,0,67,3065,Black
39203,Bend,Oregon,4901,Jackson,Tennessee,0,67,6828,Black
39203,Bend,Oregon,200,Morristown,Tennessee,0,67,563,Black
39203,Bend,Oregon,29502,Kansas City,Missouri,0,67,31190,Black
39203,Bend,Oregon,13300,Findlay,Ohio,0,67,592,Black
39203,Bend,Oregon,9302,Toccoa,Georgia,0,67,1689,Black
39203,Bend,Oregon,1201,Franklin,North Carolina,0,67,43,Black
39203,Bend,Oregon,7400,Orlando,Florida,0,67,41649,Black
39203,Bend,Oregon,38200,Santa Barbara,California,0,67,1083,Black
39203,Bend,Oregon,17000,Pikeville,Kentucky,0,67,108,Black
39203,Bend,Oregon,4601,Campbellsville,Kentucky,0,67,203,Black
39203,Bend,Oregon,26605,Aberdeen,South Dakota,0,67,64,Black
39203,Bend,Oregon,29002,Coldwater,Kansas,0,67,2,Black
39203,Bend,Oregon,16902,Spencer,West Virginia,0,67,9,Black
39203,Bend,Oregon,7100,Port St. Lucie,Florida,0,67,26714,Black
39203,Bend,Oregon,602,Galax,Virginia,0,67,80,Black
39203,Bend,Oregon,4004,Many,Louisiana,0,67,449,Black
39203,Bend,Oregon,6000,Huntsville,Alabama,0,67,14957,Black
39203,Bend,Oregon,5401,Bowling Green,Kentucky,0,67,1855,Black
39203,Bend,Oregon,11203,Big Stone Gap,Virginia,0,67,110,Black
39203,Bend,Oregon,17800,Oneonta,New York,1,67,174,Black
39203,Bend,Oregon,8502,Cordele,Georgia,0,67,1914,Black
39203,Bend,Oregon,401,Winston-Salem,North Carolina,0,67,12006,Black
39203,Bend,Oregon,33500,Texarkana,Texas,0,67,5458,Black
39203,Bend,Oregon,39205,John Day,Oregon,0,67,2,Black
39203,Bend,Oregon,6301,McMinnville,Tennessee,0,67,215,Black
39203,Bend,Oregon,29003,Dodge City,Kansas,0,67,60,Black
39203,Bend,Oregon,34308,Billings,Montana,0,67,202,Black
39203,Bend,Oregon,31502,Pearsall,Texas,0,67,19,Black
39203,Bend,Oregon,36700,Eureka,California,0,67,270,Black
39203,Bend,Oregon,27012,Gettysburg,South Dakota,0,67,1,Black
39203,Bend,Oregon,16801,Beckley,West Virginia,0,67,773,Black
39203,Bend,Oregon,10000,Panama City,Florida,0,67,2858,Black
39203,Bend,Oregon,13600,South Bend,Indiana,0,67,8379,Black
39203,Bend,Oregon,30403,Okmulgee,Oklahoma,0,67,347,Black
39203,Bend,Oregon,39303,Port Angeles,Washington,0,67,74,Black
39203,Bend,Oregon,26403,Bowman,North Dakota,0,67,2,Black
39203,Bend,Oregon,6502,Cleveland,Tennessee,0,67,946,Black
39203,Bend,Oregon,38801,Portland,Oregon,12,67,7318,Black
39203,Bend,Oregon,30904,Pampa,Texas,0,67,113,Black
39203,Bend,Oregon,8601,Waycross,Georgia,0,67,3144,Black
39203,Bend,Oregon,21900,Marshalltown,Iowa,0,67,131,Black
39203,Bend,Oregon,21201,Hutchinson,Minnesota,0,67,60,Black
39203,Bend,Oregon,5000,Tupelo,Mississippi,0,67,6780,Black
39203,Bend,Oregon,10101,Bainbridge,Georgia,0,67,1694,Black
39203,Bend,Oregon,6401,Chattanooga,Tennessee,0,67,8914,Black
39203,Bend,Oregon,21702,Austin,Minnesota,0,67,91,Black
39203,Bend,Oregon,3400,Houma,Louisiana,0,67,7470,Black
39203,Bend,Oregon,8503,Valdosta,Georgia,0,67,10099,Black
39203,Bend,Oregon,34202,Shelby,Montana,0,67,7,Black
39203,Bend,Oregon,23200,Dubuque,Iowa,0,67,574,Black
39203,Bend,Oregon,301,Middlesborough,Tennessee,0,67,99,Black
39203,Bend,Oregon,11002,Atmore,Alabama,0,67,2556,Black
39203,Bend,Oregon,34002,Idabel,Oklahoma,0,67,608,Black
39203,Bend,Oregon,27903,Grand Island,Nebraska,0,67,59,Black
39203,Bend,Oregon,36000,Provo,Utah,0,67,461,Black
39203,Bend,Oregon,25800,Blytheville,Arkansas,0,67,2762,Black
39203,Bend,Oregon,4903,Lexington,Tennessee,0,67,276,Black
39203,Bend,Oregon,24100,Milwaukee,Wisconsin,0,67,33313,Black
39203,Bend,Oregon,28303,Oshkosh,Nebraska,0,67,3,Black
39203,Bend,Oregon,39202,Enterprise,Oregon,0,67,-3,Black
39203,Bend,Oregon,33700,Ardmore,Oklahoma,0,67,532,Black
39203,Bend,Oregon,20901,Bridgeport,Connecticut,0,67,34978,Black
39203,Bend,Oregon,37800,San Francisco,California,3,67,45033,Black
39203,Bend,Oregon,27902,York,Nebraska,0,67,24,Black
39203,Bend,Oregon,26305,Rugby,North Dakota,0,67,3,Black
39203,Bend,Oregon,29505,Polk,Missouri,0,67,38,Black
39203,Bend,Oregon,26407,Plentywood,Montana,0,67,1,Black
39203,Bend,Oregon,31304,Mason,Texas,0,67,4,Black
39203,Bend,Oregon,1600,Wilson,North Carolina,0,67,11000,Black
